lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.0283144,0.00409185,-0.00885891,-0.771706
0.0283133,0.00409154,-0.00890942,-0.776157
0.0283122,0.00409124,-0.0089585,-0.780294
0.0283112,0.00409094,-0.00900617,-0.784009
0.0283101,0.00409063,-0.00905242,-0.78738
0.028309,0.00409032,-0.00909725,-0.790357
0.0283078,0.00409,-0.00914076,-0.792641
0.0283068,0.0040897,-0.00918297,-0.794341
0.0283057,0.00408939,-0.0092239,-0.79547
0.0283046,0.0040891,-0.0092636,-0.796055
0.0283036,0.0040888,-0.00930208,-0.796151
0.0283026,0.00408852,-0.00933936,-0.795755
0.0283016,0.00408823,-0.00937548,-0.79491
0.0283005,0.00408795,-0.00941044,-0.793676
0.0282995,0.00408766,-0.00944427,-0.792071
0.0282985,0.00408738,-0.00947698,-0.79012
0.0282975,0.0040871,-0.00950858,-0.787839
0.0282965,0.00408682,-0.00953908,-0.785211
0.0282956,0.00408654,-0.0095686,-0.782251
0.0282945,0.00408626,-0.00959728,-0.779086
0.0282935,0.00408597,-0.00962516,-0.775734
0.0282925,0.00408568,-0.00965222,-0.772207
0.0282914,0.00408538,-0.00967843,-0.768589
0.0282904,0.00408509,-0.00970381,-0.764744
0.0282893,0.00408478,-0.00972818,-0.761073
0.0282882,0.00408447,-0.00975149,-0.7574
0.028287,0.00408415,-0.0097737,-0.753783
0.0282859,0.00408382,-0.00979467,-0.75031
0.0282847,0.00408349,-0.0098144,-0.746835
0.0282836,0.00408317,-0.00983285,-0.74339
0.0282824,0.00408285,-0.00984998,-0.740019
0.0282813,0.00408252,-0.00986572,-0.736749
0.0282802,0.00408221,-0.00987996,-0.733626
0.0282791,0.0040819,-0.00989267,-0.73066
0.028278,0.0040816,-0.00990376,-0.727873
0.0282769,0.0040813,-0.00991316,-0.725275
0.0282759,0.00408101,-0.00992079,-0.722881
0.0282749,0.00408073,-0.00992655,-0.720721
0.028274,0.00408047,-0.00993031,-0.718819
0.028273,0.0040802,-0.00993203,-0.717138
0.0282722,0.00407998,-0.00993156,-0.715648
0.0282715,0.00407977,-0.00992916,-0.714336
0.0282708,0.0040796,-0.00992495,-0.713152
0.0282701,0.00407939,-0.00991907,-0.712209
0.0282696,0.00407925,-0.00991132,-0.711234
0.0282689,0.00407905,-0.00990197,-0.710516
0.0282683,0.00407889,-0.00989092,-0.709726
0.0282679,0.00407877,-0.00987799,-0.709058
0.0282676,0.00407867,-0.00986312,-0.70846
0.0282673,0.0040786,-0.00984626,-0.70789
0.0282673,0.00407861,-0.00982702,-0.70727
0.0282672,0.00407858,-0.00980573,-0.706766
0.0282673,0.00407861,-0.00978233,-0.706039
0.0282673,0.0040786,-0.00975714,-0.705331
0.0282674,0.00407863,-0.00973009,-0.704415
0.0282677,0.0040787,-0.00970106,-0.703471
0.028268,0.0040788,-0.00967009,-0.702466
0.0282685,0.00407892,-0.00963718,-0.701397
0.0282691,0.00407911,-0.00960224,-0.700283
0.0282699,0.00407933,-0.00956527,-0.699167
0.0282707,0.00407956,-0.00952642,-0.698149
0.0282715,0.00407978,-0.00948592,-0.697072
0.0282723,0.00408,-0.00944389,-0.696021
0.028273,0.00408021,-0.0094008,-0.694683
0.028274,0.00408047,-0.00935813,-0.693588
0.028275,0.00408075,-0.00931614,-0.692707
0.028276,0.00408105,-0.00927484,-0.691999
0.0282772,0.00408137,-0.00923426,-0.691542
0.0282783,0.00408168,-0.00919455,-0.691261
0.0282794,0.00408199,-0.0091558,-0.691087
0.0282805,0.00408232,-0.00911809,-0.691101
0.0282818,0.00408267,-0.00908142,-0.691407
0.028283,0.00408302,-0.00904587,-0.692001
0.0282843,0.00408339,-0.00901147,-0.692914
0.0282856,0.00408376,-0.00897828,-0.694163
0.028287,0.00408414,-0.00894636,-0.695707
0.0282884,0.00408453,-0.00891573,-0.697566
0.0282898,0.00408493,-0.00888643,-0.699677
0.0282912,0.00408532,-0.00885851,-0.702241
0.0282926,0.00408572,-0.00883201,-0.704952
0.0282942,0.00408615,-0.00880694,-0.707698
0.0282957,0.00408659,-0.00878334,-0.710722
0.0282973,0.00408705,-0.00876119,-0.713833
0.028299,0.0040875,-0.00874053,-0.71713
0.0283006,0.00408795,-0.00872139,-0.720618
0.0283022,0.0040884,-0.00870379,-0.724262
0.0283039,0.00408888,-0.00868558,-0.727827
0.0283056,0.00408936,-0.00866463,-0.731346
0.0283073,0.00408986,-0.00864096,-0.73471
0.0283092,0.00409038,-0.0086146,-0.738016
0.0283111,0.00409092,-0.00858556,-0.741201
0.0283131,0.00409147,-0.00855388,-0.744238
0.028315,0.00409202,-0.00851957,-0.747123
0.028317,0.00409258,-0.00848264,-0.749853
0.028319,0.00409313,-0.00844312,-0.752394
0.028321,0.00409369,-0.00840103,-0.754716
0.0283229,0.00409424,-0.00835638,-0.756822
0.0283248,0.00409479,-0.00830918,-0.758651
0.0283268,0.00409533,-0.00825946,-0.760239
0.0283287,0.00409587,-0.00820722,-0.761527
0.0283305,0.00409639,-0.00815248,-0.762499
0.0283324,0.00409691,-0.00809527,-0.763239
0.0283341,0.0040974,-0.00803562,-0.763666
0.0283358,0.00409788,-0.00797349,-0.763729
0.0283374,0.00409833,-0.00790884,-0.763336
0.0283393,0.00409887,-0.00784183,-0.762918
0.0283406,0.00409923,-0.00777222,-0.762008
0.0283418,0.00409957,-0.00770005,-0.760644
0.028343,0.00409991,-0.00762542,-0.758947
0.0283441,0.0041002,-0.00754894,-0.756654
0.0283451,0.0041005,-0.00747077,-0.754161
0.0283461,0.00410077,-0.00739089,-0.751477
0.0283469,0.00410102,-0.0073093,-0.748542
0.0283477,0.00410123,-0.00722595,-0.745257
0.0283484,0.00410142,-0.00714082,-0.74164
0.0283489,0.00410157,-0.00705387,-0.737666
0.0283495,0.00410175,-0.00696507,-0.733546
0.0283503,0.00410196,-0.00687438,-0.729288
0.0283504,0.004102,-0.00678172,-0.724443
0.0283504,0.00410198,-0.00668705,-0.718825
0.0283502,0.00410193,-0.00659035,-0.711893
0.0283502,0.00410194,-0.0064916,-0.704747
0.0283502,0.00410194,-0.00639075,-0.697285
0.0283501,0.0041019,-0.00628779,-0.689371
0.0283499,0.00410185,-0.00618268,-0.680954
0.0283496,0.00410177,-0.0060754,-0.672028
0.0283492,0.00410167,-0.00596592,-0.662602
0.0283488,0.00410155,-0.00585422,-0.652712
0.0283483,0.00410139,-0.00574029,-0.642303
0.0283476,0.00410121,-0.0056241,-0.63134
0.0283469,0.00410101,-0.00550565,-0.620093
0.0283461,0.00410079,-0.00538752,-0.608293
0.0283452,0.00410052,-0.00527319,-0.596228
0.0283442,0.00410023,-0.00516268,-0.584127
0.028343,0.00409989,-0.00505599,-0.571987
0.0283417,0.00409953,-0.00495313,-0.55954
0.0283402,0.00409913,-0.00485414,-0.546959
0.0283388,0.00409871,-0.00475903,-0.534273
0.0283372,0.00409828,-0.00466783,-0.521785
